phrase,total_occurrences,position_score,p_dem,p_rep,n_dem,n_rep,ngram_size
let,4971,-0.18286257913370738,0.6028163180782771,0.41643364164336416,2911,1936,1
section,4861,0.7931746185889261,0.10747566784013253,0.9318132931813293,519,4332,1
senate,4836,0.18320262800629072,0.41354317664112655,0.599053559905356,1997,2785,1
legislation,4758,0.16365679506288514,0.4141644232760406,0.5762529576252957,2000,2679,1
thank,4736,0.028125680323918215,0.48270863532822533,0.5106474510647451,2331,2374,1
percent,4699,0.0538833037293007,0.449161317042866,0.500322650032265,2169,2326,1
energy,4618,0.04525595927085085,0.4640712362808035,0.508066250806625,2241,2362,1
department,4611,-0.0046431206170860434,0.48436529302132947,0.4798881479888148,2339,2231,1
district,4602,-0.23504193578099863,0.5806585214330089,0.3596472359647236,2804,1672,1
way,4551,-0.13707099537570208,0.5235038310209154,0.39728973972897397,2528,1847,1
health,4515,-0.39432566990283124,0.6442327604058812,0.2798451279845128,3111,1301,1
speaker rise,4448,0.061240276760617614,0.438393042037689,0.49559044955904497,2117,2304,2
healthcare,4433,-0.5153524347925245,0.6786084075377925,0.21703592170359218,3277,1009,1
shall,4417,0.8774313096014368,0.057983019258645685,0.8881479888147988,280,4129,1
including,4345,0.15338033623273611,0.3835162559536136,0.5224779522477953,1852,2429,1
say,4337,-0.1984802168230752,0.5355145992959205,0.3581415358141536,2586,1665,1
said,4302,-0.2737220276442874,0.5605715469041209,0.3196386319638632,2707,1486,1
day,4265,-0.1516150643435101,0.5092151584178919,0.3751344375134438,2459,1744,1
care,4232,-0.3459539778675475,0.5856284945123214,0.28457732845773287,2828,1323,1
program,4203,0.1398087016054449,0.37709670739283496,0.499677349967735,1821,2323,1
nation,4177,0.006094325798421421,0.4309380824187202,0.43622284362228436,2081,2028,1
world,4166,-0.047273623862324275,0.44688341271484777,0.40653904065390406,2158,1890,1
war,4148,-0.27868753258891565,0.5384137502588527,0.30372123037212306,2600,1412,1
mr speaker rise,4129,0.05770101559958889,0.408366121350176,0.4583781458378146,1972,2131,3
children,3971,-0.3590198435426657,0.5522882584386001,0.2604861260486126,2667,1211,1
think,3971,-0.04009131353371554,0.42161938289500933,0.3891159389115939,2036,1809,1
communities,3960,-0.13451599197237565,0.4655208117622696,0.35513013551301353,2248,1651,1
million,3861,-0.1456176235445978,0.4479188237730379,0.3340503334050333,2163,1553,1
ms,3793,-0.530601436458473,0.6053013046179333,0.18563131856313186,2923,863,1
american people,3728,-0.22666393035856924,0.4715261958997722,0.297268229726823,2277,1382,2
working,3704,-0.10240657342099614,0.4234831227997515,0.34480533448053347,2045,1603,1
resolution,3667,0.10981092889803057,0.34127148477945746,0.42546784254678427,1648,1978,1
rise today,3584,0.11286440234234323,0.3340236073721267,0.4190148419014842,1613,1948,2
life,3577,-0.08754419285853121,0.4017394905777594,0.33706173370617337,1940,1567,1
secretary,3506,0.41301103880992623,0.21785048664319734,0.5244138524413853,1052,2438,1
school,3503,-0.09304251694558496,0.38807206460965005,0.3220047322004732,1874,1497,1
small,3494,0.12510932413492576,0.3209774280389315,0.41277694127769415,1550,1919,1
home,3481,-0.08410143382029632,0.3938703665355146,0.3327597332759733,1902,1547,1
leadership,3448,0.09527678844831973,0.32408366121350174,0.39234243923424394,1565,1824,1
help,3448,-0.12782737171995237,0.4044315593290536,0.3127554312755431,1953,1454,1
rule,3425,0.18316919857954192,0.29343549389107476,0.42503764250376425,1417,1976,1
member,3422,0.15168559386611014,0.30420376889625184,0.41299204129920414,1469,1920,1
president trump,3380,0.021385585170490436,0.3449989645889418,0.3600774360077436,1666,1674,2
office,3363,-0.007272465652406098,0.3520397597846345,0.3469563346956335,1700,1613,1
republican,3355,-0.5914363405111688,0.5462828743010976,0.1402452140245214,2638,652,1
family,3299,-0.006778839988186504,0.3462414578587699,0.3415788341578834,1672,1588,1
important,3294,-0.024155957485484006,0.3481051977635121,0.3316842331684233,1681,1542,1
members,3271,-0.030665345220401326,0.35038310209153034,0.3295332329533233,1692,1532,1
congressional,3259,-0.04553029256088356,0.3539034996893767,0.32308023230802324,1709,1502,1
military,3243,0.043530239298856056,0.3207703458272934,0.3499677349967735,1549,1627,1
services,3241,0.198090314258483,0.2721060260923587,0.40653904065390406,1314,1890,1
urge,3201,-0.0070227756728564236,0.33899358045143924,0.33426543342654336,1637,1554,1
good,3188,-0.050050796105455264,0.3449989645889418,0.3121101312110131,1666,1451,1
does,3167,-0.14114995135498526,0.3683992545040381,0.2772639277263928,1779,1289,1
speaker rise today,3163,0.14404614199746069,0.2845309587906399,0.3802968380296838,1374,1768,3
costs,3130,-0.3191806417385841,0.428038931455788,0.2209077220907722,2067,1027,1
come,3116,-0.10914254602516667,0.3561814040173949,0.28608302860830287,1720,1330,1
money,3079,-0.10355611640903138,0.35059018430316835,0.28479242847924285,1693,1324,1
power,3046,-0.26911078852815196,0.3917995444191344,0.22563992256399226,1892,1049,1
use,3043,0.092762621815344,0.2880513563884862,0.3469563346956335,1391,1613,1
did,3026,-0.12167191786771843,0.34831227997515013,0.27274682727468275,1682,1268,1
local,3013,-0.09457945502125038,0.34065023814454337,0.2817810281781028,1645,1310,1
programs,2927,-0.18657878395426108,0.36053013046179333,0.24714992471499247,1741,1149,1
lives,2920,-0.2818144319866808,0.3889003934562021,0.21789632178963217,1878,1013,1
funding,2919,-0.3039893306349216,0.38848622903292607,0.20735642073564206,1876,964,1
education,2908,-0.2773508220841777,0.37564713191136884,0.21251882125188212,1814,988,1
continue,2905,-0.07461553631289103,0.3209774280389315,0.27640352764035275,1550,1285,1
democrats,2866,0.1906350896784873,0.24228618761648374,0.35642073564207355,1170,1657,1
veterans,2855,-0.026613737865031004,0.3087595775522883,0.29275112927511293,1491,1361,1
great,2850,0.058946569382350954,0.27831849244149925,0.31318563131856314,1344,1456,1
actually,2835,0.19157801407005712,0.23524539242079107,0.3467412346741235,1136,1612,1
high,2810,-0.013828603474876702,0.2868088631186581,0.2789847278984728,1385,1297,1
medicaid,2787,-0.6989148609369532,0.4806378132118451,0.08517960851796086,2321,396,1
doing,2785,-0.20491404009889833,0.3452060468005798,0.22779092277909227,1667,1059,1
women,2778,-0.18258012843212307,0.34106440256781945,0.23574962357496235,1647,1096,1
title,2751,0.8210870160154562,0.052598881756057154,0.5353839535383954,254,2489,1
history,2744,-0.2873116224410497,0.36094429488506935,0.199827919982792,1743,929,1
budget,2735,-0.22806137880488964,0.3456202112238559,0.21725102172510216,1669,1010,1
long,2677,-0.021540181807060455,0.2845309587906399,0.2725317272531727,1374,1267,1
access,2655,-0.12431195204730264,0.3112445640919445,0.24241772424177244,1503,1127,1
end,2651,0.06548117417084531,0.25450403810312694,0.2901699290169929,1229,1349,1
2025,2639,0.23675777192712028,0.2122592669289708,0.3439449343944934,1025,1599,1
cost,2639,-0.13106776470442777,0.30378960447297576,0.23338352333835233,1467,1085,1
recognize,2626,0.23356926431352934,0.2091530337544005,0.33663153366315335,1010,1565,1
billion,2612,-0.156498791892241,0.3052391799544419,0.22262852226285224,1474,1035,1
protect,2587,-0.1934305029810299,0.31890660592255127,0.21553022155302215,1540,1002,1
things,2583,0.060018780007079824,0.2513978049285566,0.28350182835018284,1214,1318,1
order,2583,0.10442159441714284,0.2366949679022572,0.29189072918907294,1143,1357,1
business,2582,0.157183699116865,0.22779043280182232,0.3127554312755431,1100,1454,1
pay,2563,-0.21439181109345576,0.31787119486436116,0.20563562056356205,1535,956,1
bipartisan,2558,-0.20869104758031048,0.31869952371091326,0.20864702086470208,1539,970,1
critical,2558,0.14974011197445322,0.22779043280182232,0.3080232308023231,1100,1432,1
general,2557,0.4366348186247632,0.15199834334230689,0.38761023876102385,734,1802,1
amendment,2540,0.02057677141020567,0.2607165044522676,0.2716713271671327,1259,1263,1
big,2532,-0.2726020025494166,0.3356802650652309,0.19186921918692193,1621,892,1
future,2531,-0.010202631862927745,0.26651480637813213,0.2611314261131426,1287,1214,1
process,2521,-0.006797637174179767,0.2636156554151998,0.2600559260055926,1273,1209,1
means,2517,0.23856253648458556,0.2008697452888797,0.32673693267369325,970,1519,1
policy,2487,0.07098280717949028,0.2356595568440671,0.2716713271671327,1138,1263,1
honor,2447,0.053815024288679576,0.2379374611720853,0.26500322650032265,1149,1232,1
clear,2447,-0.14073383133385142,0.2878442741768482,0.21682082168208217,1390,1008,1
washington,2435,0.1821218076183757,0.20894595154276246,0.302000430200043,1009,1404,1
fact,2417,-0.10319888158275463,0.2714847794574446,0.2206926220692622,1311,1026,1
safety,2416,0.07194919015204357,0.23296748809277282,0.2690901269090127,1125,1251,1
businesses,2410,0.012303948173039618,0.24932698281217644,0.2555388255538826,1204,1188,1
ensure,2408,0.13435386093058715,0.2193000621246635,0.2873736287373629,1059,1336,1
representatives,2405,0.3244933214919945,0.16773659142679645,0.3288879328887933,810,1529,1
california,2404,-0.2266327305061715,0.2255125284738041,0.14218111421811142,1089,661,1
enforcement,2388,0.1592374222411538,0.2093601159660385,0.2886642288664229,1011,1342,1
madam,2387,0.11847252679366682,0.2215779664526817,0.2811357281135728,1070,1307,1
provide,2361,0.06440995411215011,0.22820459722509837,0.2596257259625726,1102,1207,1
foreign,2357,0.26409519002386933,0.18119693518326777,0.3112497311249731,875,1447,1
report,2342,0.5746579053005728,0.10499068130047629,0.3886857388685739,507,1807,1
term,2336,0.4723257466618437,0.1306688755435908,0.36459453645945367,631,1695,1
10,2332,0.2309550747183382,0.1845102505694761,0.29533232953323296,891,1373,1
cuts,2326,-0.5277916000941568,0.36467177469455375,0.11271241127124113,1761,524,1
students,2321,-0.25159688878479364,0.285980534272106,0.1710045171004517,1381,795,1
week,2320,-0.2318856093798476,0.29012217850486643,0.1808991180899118,1401,841,1
days,2310,0.15366099356055732,0.20356181404017396,0.2774790277479028,983,1290,1
rules,2297,0.21746893012999255,0.1896873058604266,0.295117229511723,916,1372,1
air,2296,0.15057366371242537,0.20501138952164008,0.27769412776941277,990,1291,1
agency,2295,0.17869272165972364,0.19859184096086147,0.28500752850075284,959,1325,1
chairman,2288,0.43680285567124466,0.1366742596810934,0.3486771348677135,660,1621,1
defense,2274,0.3527230479742218,0.15572582315179126,0.32544633254463323,752,1513,1
county,2270,0.26648189619579316,0.17104990681300478,0.29533232953323296,826,1373,1
look,2261,0.08965123708300006,0.21205218471733278,0.25381802538180254,1024,1180,1
stand,2255,-0.40050366032125057,0.32511907227169184,0.1391697139169714,1570,647,1
floor,2238,-0.22719545659709212,0.2845309587906399,0.1791783179178318,1374,833,1
information,2233,0.2764559838341113,0.16960033133153862,0.299204129920413,819,1391,1
making,2231,-0.10134902248093117,0.25491820252640296,0.20800172080017207,1231,967,1
urge colleagues,2222,0.03431048522202464,0.22613377510871815,0.24220262422026242,1092,1126,2
place,2222,-0.04367568963067589,0.2389728722302754,0.2189718218971822,1154,1018,1
able,2217,-0.04632341431656839,0.24000828328846552,0.2187567218756722,1159,1017,1
senator,2193,-0.06718019276399743,0.24042244771174157,0.2101527210152721,1161,977,1
chair,2191,0.18111559980461917,0.18865189480223649,0.27210152721015274,911,1265,1
better,2191,-0.1599739595108676,0.26465106647338993,0.19165411916541192,1278,891,1
news,2180,0.7087854607700116,0.06668047214744253,0.3912669391266939,322,1819,1
bills,2156,-0.30402402832602626,0.29219300062124665,0.15594751559475156,1411,725,1
economic,2150,0.1333625948494205,0.19507144336301513,0.25510862551086255,942,1186,1
hard,2146,-0.0652690554452226,0.2387657900186374,0.2095074209507421,1153,974,1
proud,2118,0.08718943107013336,0.20335473182853592,0.24220262422026242,982,1126,1
yield,2092,0.020913661498988458,0.21495133568026506,0.22413422241342223,1038,1042,1
dollars,2075,-0.1445050795746787,0.23855870780699936,0.1783179178317918,1152,829,1
really,2047,-0.19193406320799805,0.25160488714019463,0.1705743170574317,1215,793,1
cut,2019,-0.4038747548440652,0.29177883619797057,0.12389761238976124,1409,576,1
madam speaker,2018,0.12916817260200672,0.18513149720439015,0.2400516240051624,894,1116,2
plan,2000,-0.004219391304876353,0.20998136260095257,0.20821682082168208,1014,968,1
sec,1997,0.8035287491904136,0.04203768896251812,0.38588943858894387,203,1794,1
food,1988,-0.39635666004502945,0.2866017809070201,0.12389761238976124,1384,576,1
rights,1983,-0.4079156753244975,0.28950093186995235,0.12174661217466122,1398,566,1
real,1969,-0.1891842611725796,0.24228618761648374,0.16519681651968166,1170,768,1
economy,1962,-0.07025688922686824,0.21888589770138744,0.1901484190148419,1057,884,1
resources,1962,0.2046725549156557,0.16359494719403603,0.24779522477952248,790,1152,1
away,1958,-0.4286630915214877,0.28722302754193413,0.11486341148634115,1387,534,1
donald,1942,-0.8063777668333829,0.36322219921308757,0.03893310389331039,1754,181,1
subsection,1942,0.9503784746399103,0.010354110581901015,0.4069692406969241,50,1892,1
ask,1942,0.050276687973607646,0.19217229240008282,0.21251882125188212,928,988,1
guard,1940,0.574801606022224,0.0867674466763305,0.3213594321359432,419,1494,1
sure,1936,-0.23144568648491498,0.24539242079105406,0.15315121531512152,1185,712,1
authority,1926,-0.0527746129622157,0.20894595154276246,0.18799741879974188,1009,874,1
number,1925,0.2227336442337218,0.1501346034375647,0.23617982361798237,725,1098,1
forward,1916,-0.023900566033755875,0.20149099192379374,0.19208431920843191,973,893,1
insurance,1914,-0.24926020850224928,0.24518533857941602,0.14734351473435148,1184,685,1
passed,1913,-0.021885849875775267,0.20045558086560364,0.19186921918692193,968,892,1
millions,1912,-0.48893543241566556,0.2870159453302961,0.09851580985158098,1386,458,1
person,1908,-0.061378675647564725,0.21039552702422862,0.18606151860615186,1016,865,1
land,1874,0.38928753659344445,0.12093601159660385,0.27511292751129274,584,1279,1
issue,1872,0.0040506051717557725,0.1898943880720646,0.1914390191439019,917,890,1
housing,1860,0.20946350174333017,0.15282667218885898,0.23381372338137235,738,1087,1
pass,1855,0.16736060470448902,0.15986746738455165,0.22413422241342223,772,1042,1
stop,1854,-0.16710781607715386,0.22364878856906192,0.1596042159604216,1080,742,1
court,1846,-0.27877092656469477,0.24332159867467384,0.13723381372338136,1175,638,1
balance,1843,0.14858654993228118,0.16566576931041624,0.22348892234889223,800,1039,1
following,1837,0.5547710623712866,0.08697452888796853,0.30372123037212306,420,1412,1
development,1831,0.3443224843612228,0.12673431352246842,0.2598408259840826,612,1208,1
social,1827,-0.24474951827965566,0.2375232967488093,0.14411701441170144,1147,670,1
force,1824,0.07026212834745414,0.17601987989231724,0.20262422026242202,850,942,1
later,1823,0.4043744997922334,0.1143093808241872,0.2695203269520327,552,1253,1
serve,1819,0.06241806996437228,0.1776765375854214,0.201333620133362,858,936,1
ago,1813,-0.04155868646733929,0.19237937461172086,0.17702731770273178,929,823,1
house representatives,1812,0.4018027243302093,0.11161731207289294,0.26156162615616263,539,1216,2
believe,1808,-0.19679774119469687,0.2182646510664734,0.14648311464831146,1054,681,1
best,1805,0.10889512625936441,0.1673224270035204,0.20821682082168208,808,968,1
strong,1799,0.12123288415246761,0.16504452267550218,0.2105829210582921,797,979,1
used,1796,0.07658877444503157,0.17084282460136674,0.199182619918262,825,926,1
law enforcement,1796,0.21279044240020062,0.1478566991095465,0.22779092277909227,714,1059,2
police,1793,-0.23971375490776964,0.22903292607165043,0.1404603140460314,1106,653,1
donald trump,1791,-0.8189537574323743,0.33712984054669703,0.033555603355560334,1628,156,2
impact,1790,0.08424248413174112,0.1673224270035204,0.19810711981071197,808,921,1
texas,1779,0.23329955195591445,0.142679643818596,0.2295117229511723,689,1067,1
financial,1778,0.2213066593842567,0.14578587699316628,0.2286513228651323,704,1063,1
city,1775,0.07275430368168198,0.17104990681300478,0.19789201978920198,826,920,1
commitment,1775,0.21405955033321936,0.1449575481466142,0.22391912239191225,700,1041,1
justice,1764,-0.40335371411815885,0.2580244357009733,0.1097010109701011,1246,510,1
served,1763,0.20771160963877636,0.14661420583971838,0.22348892234889223,708,1039,1
control,1754,0.10506634135157347,0.1623524539242079,0.20047322004732201,784,932,1
thing,1746,-0.16678038943441947,0.20873886933112445,0.1490643149064315,1008,693,1
spending,1746,0.3984678953179001,0.10954648995651274,0.25467842546784253,529,1184,1
lot,1735,-0.03722814669955022,0.1849244149927521,0.1716498171649817,893,798,1
rural,1731,-0.010495660064659173,0.18078277075999172,0.17702731770273178,873,823,1
biden,1730,0.6833664045325486,0.05777593704700766,0.3071628307162831,279,1428,1
trying,1729,-0.22365753243753725,0.21867881548974943,0.1387395138739514,1056,645,1
coast,1722,0.6053913158685003,0.07206460965003106,0.29318132931813295,348,1363,1
jobs,1721,-0.10874047223266066,0.19507144336301513,0.15680791568079158,942,729,1
trump administration,1719,-0.5797973189038914,0.28142472561606957,0.07485480748548075,1359,348,2
ice,1714,-0.37305236454086305,0.24166494098156968,0.1103463110346311,1167,513,1
speaker thank,1711,0.004957582084972868,0.1795402774901636,0.18132931813293182,867,843,2
action,1706,0.061951497079427105,0.16587285152205425,0.18778231877823187,801,873,1
instead,1705,-0.38018625489125374,0.24332159867467384,0.10927081092708109,1175,508,1
efforts,1699,0.0560332281028278,0.16670118036860634,0.18649171864917186,805,867,1
opportunity,1695,0.0063498868855469725,0.17415613998757506,0.17638201763820177,841,820,1
agencies,1691,0.07589780717563055,0.16276661834748396,0.18950311895031188,786,881,1
doesn,1687,-0.29560396399012756,0.2255125284738041,0.12260701226070123,1089,570,1
month,1680,-0.33307054920266393,0.23131083039966868,0.11572381157238115,1117,538,1
called,1679,-0.23924927425124287,0.21163802029405673,0.1299204129920413,1022,604,1
representative,1673,0.0365230392215497,0.16815075585007247,0.1808991180899118,812,841,1
single,1670,-0.10672419563089812,0.18948022364878858,0.15293611529361154,915,711,1
research,1658,-0.1636131237456671,0.20169807413543175,0.14497741449774146,974,674,1
team,1657,0.43636253874047726,0.09774280389314557,0.2490858249085825,472,1158,1
staff,1647,0.14884437528229835,0.14661420583971838,0.19789201978920198,708,920,1
gentleman,1643,0.01960274147944843,0.16918616690826258,0.17595181759518175,817,818,1
policies,1632,0.07847974646109673,0.15199834334230689,0.17788771778877177,734,827,1
needs,1630,-0.08994441460894315,0.183681921722924,0.15336631533663153,887,713,1
times,1627,0.05990253554812141,0.15758956305653343,0.1776726177672618,761,826,1
mr president,1617,-0.07751298054981255,0.17788361979705944,0.15229081522908153,859,708,2
amended,1615,0.8301467525767864,0.029405674052598883,0.31684233168423315,142,1473,1
date,1614,0.788786524633407,0.03644646924829157,0.3086685308668531,176,1435,1
political,1614,-0.19609237841378704,0.1971422654793953,0.13250161325016133,952,616,1
tell,1609,-0.19591105023503608,0.19962725201905157,0.13422241342224134,964,624,1
young,1607,-0.0275001381262637,0.17022157796645268,0.16110991611099162,822,749,1
technology,1605,0.4511856790643354,0.09297991302547111,0.24585932458593246,449,1143,1
ii,1602,0.6582538421268611,0.057983019258645685,0.28135082813508283,280,1308,1
talk,1596,-0.0651891738883669,0.17622696210395528,0.15465691546569155,851,719,1
workers,1594,-0.33837689179188823,0.2193000621246635,0.10841041084104108,1059,504,1
mr speaker thank,1594,-0.0017249611292230649,0.1683578380617105,0.1677780167778017,813,780,3
constitution,1590,-0.4896107008279096,0.23855870780699936,0.08173800817380082,1152,380,1
citizens,1590,-0.16161308915106073,0.18865189480223649,0.13615831361583136,911,633,1
management,1587,0.4277077528506501,0.0958790639884034,0.2391912239191224,463,1112,1
risk,1585,-0.11183253690872659,0.18202526402981983,0.14540761454076145,879,676,1
benefits,1577,-0.17731969200443717,0.19362186788154898,0.13529791352979134,935,629,1
got,1567,-0.10329531787514724,0.17705529095050734,0.14390191439019143,855,669,1
data,1564,0.22305192293369042,0.12694139573410643,0.199827919982792,613,929,1
iran,1563,0.09827019822808401,0.14640712362808034,0.1783179178317918,707,829,1
point,1558,0.05389296636146683,0.15158417891903087,0.1688535168853517,732,785,1
join,1557,-0.044892858573991674,0.17084282460136674,0.15616261561626157,825,726,1
china,1557,0.16876881324307594,0.1358459308345413,0.1910088191008819,656,888,1
aisle,1553,-0.022639026458311763,0.16587285152205425,0.1585287158528716,801,737,1
increase,1550,0.04531913041653899,0.153033754400497,0.16756291675629167,739,779,1
respect,1537,0.2993384419731291,0.11285980534272105,0.20929232092923208,545,973,1
hope,1537,-0.1401613265835813,0.18140401739490578,0.13680361368036137,876,636,1
fund,1533,0.06127013767742651,0.1499275212259267,0.1694988169498817,724,788,1
leader,1526,-0.020001952760510727,0.1600745495961897,0.15379651537965153,773,715,1
job,1523,-0.11054997922937405,0.1745703044108511,0.1398150139815014,843,650,1
water,1522,-0.08928166115853119,0.16877200248498653,0.1411056141105614,815,656,1
bring,1514,-0.15792846933222554,0.1795402774901636,0.1305657130565713,867,607,1
balance time,1513,0.1529492196027035,0.13543176641126528,0.18434071843407185,654,857,2
constituents,1507,-0.45458660324507744,0.22716918616690826,0.08517960851796086,1097,396,1
didn,1504,-0.19910417426980556,0.1867881548974943,0.12475801247580125,902,580,1
colleague,1504,-0.14408809739899525,0.17912611306688755,0.13400731340073135,865,623,1
allow,1500,-0.10036437629002475,0.17022157796645268,0.1391697139169714,822,647,1
emergency,1496,0.05977544679951582,0.14350797266514806,0.1617552161755216,693,752,1
read,1494,0.4727364621702615,0.08324704907848415,0.23252312325231234,402,1081,1
seen,1484,-0.27119852336183364,0.19134396355353075,0.1097010109701011,924,510,1
affordable,1480,-0.3186561431661852,0.2019051563470698,0.10432351043235104,975,485,1
officers,1465,-0.027121776759862725,0.1551045765168772,0.14691331469133148,749,683,1
industry,1455,-0.011741760298831254,0.15282667218885898,0.1492794149279415,738,694,1
officer,1455,0.3427132693308913,0.09939946158624974,0.20305442030544202,480,944,1
voted,1454,-0.12600890829439798,0.16960033133153862,0.1316412131641213,819,612,1
coast guard,1453,0.7571867433124627,0.03768896251811969,0.27274682727468275,182,1268,2
executive,1451,-0.04404789510552881,0.15551874094015325,0.14239621423962143,751,662,1
gas,1443,0.07170538919223575,0.13377510871816112,0.15444181544418153,646,718,1
save,1440,-0.10045066273121389,0.1652516048871402,0.13508281350828136,798,628,1
address,1436,-0.2074290171047637,0.17891903085524954,0.11744461174446118,864,546,1
majority,1435,-0.35121261228886874,0.20024849865396563,0.09614970961497096,967,447,1
nearly,1433,-0.1533843191479753,0.17084282460136674,0.12540331254033124,825,583,1
saying,1426,-0.11880074666035723,0.16276661834748396,0.12819961281996128,786,596,1
change,1420,-0.20497045070366096,0.1776765375854214,0.11722951172295117,858,545,1
yes,1420,-0.04944893206911669,0.1553116587285152,0.14067541406754142,750,654,1
debate,1418,0.06599969556890736,0.13626009525781735,0.15551731555173157,658,723,1
question,1417,-0.23633744980599503,0.1782977842203355,0.11013121101312111,861,512,1
worked,1415,-0.100265956651141,0.16255953613584592,0.13293181329318132,785,618,1
30,1413,0.21730989544300675,0.11575895630565335,0.1800387180038718,559,837,1
friend,1411,0.24616964366010408,0.11203147649616899,0.18520111852011184,541,861,1
tariffs,1410,-0.6787779438426498,0.2439428453095879,0.04667670466767047,1178,217,1
record,1410,0.1282450072695172,0.12880513563884863,0.16670251667025165,622,775,1
fiscal,1406,0.11940552269569694,0.1304617933319528,0.16584211658421166,630,771,1
review,1404,0.3184603893645837,0.10084903706771588,0.19509571950957194,487,907,1
men,1397,0.08275165476914546,0.13356802650652308,0.15766831576683157,645,733,1
individuals,1394,0.0996021605930175,0.1296334644854007,0.15831361583136158,626,736,1
crisis,1392,-0.4577916735685195,0.20646096500310623,0.07679070767907077,997,357,1
child,1386,-0.16639909437817318,0.16794367363843446,0.1200258120025812,811,558,1
simply,1386,-0.15755964295097805,0.16048871401946574,0.11679931167993117,775,543,1
came,1384,-0.193410415616011,0.1683578380617105,0.11378791137879114,813,529,1
companies,1378,-0.027094760887561707,0.14578587699316628,0.13809421380942138,704,642,1
